plate_id_fk,full_path,plate_folder,fish_folder_name,roi_name,roi_anatomy_name,note
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi6_spine_muscle_tail,aang,fish1_48hpf_xscan_roi6_spine_muscle_tail,fish1_48hpf_xscan_roi6_spine_muscle_tail,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi7_spine_muscle_tail,aang,fish1_48hpf_xscan_roi7_spine_muscle_tail,fish1_48hpf_xscan_roi7_spine_muscle_tail,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251016_mem-mito/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251016_mem-mito_v2/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-kinectocore/fish1_72hpf_roi1,aang,fish1_72hpf_roi1,fish1_72hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251016_mem-mito_v2/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi2,aang,fish1_72hpf_roi2,fish1_72hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi3,aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi3,aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi3,aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi3,aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi3,aang,fish1_72hpf_roi3,fish1_72hpf_roi3,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish1_72hpf_roi4,aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi4,aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi4,aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi4,aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi4,aang,fish1_72hpf_roi4,fish1_72hpf_roi4,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish1_72hpf_roi5,aang,fish1_72hpf_roi5,fish1_72hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi5,aang,fish1_72hpf_roi5,fish1_72hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi5,aang,fish1_72hpf_roi5,fish1_72hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish1_72hpf_roi5,aang,fish1_72hpf_roi5,fish1_72hpf_roi5,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi6,aang,fish1_72hpf_roi6,fish1_72hpf_roi6,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish1_72hpf_roi6,aang,fish1_72hpf_roi6,fish1_72hpf_roi6,,
