date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250522_skittlez,fish3,roi2,roi2,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish3,roi3,roi3,72,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish4,roi1,roi1,36,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish4,roi2,roi2,36,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish5,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish6,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish6,roi2,roi2,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish7,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish7,roi2,roi2,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish7,roi3,roi3,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish8,roi1,roi1,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish8,roi2,roi2,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish8,roi3,roi3,90,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250522_skittlez,fish9,roi1,roi1,120,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,korra,skittlez,151.0,5/22/25,,,,,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,
20250523_mem_histone,fish1,roi1,roi1,4000,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish1/roi1,korra,mem_histone,149.0,5/23/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,pDQM005,302,pDQM005,302,,pDQM117
20250523_mem_histone,fish2,roi1,roi1,8600,/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2/roi1,korra,mem_histone,149.0,5/23/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5,pDQM005,302,pDQM005,302,,pDQM117
