date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-06-26,20250626,88,,X:\abcabc\Korra_Foundation\20250626_mem-histone\fish1_48hpf_brain,fish1_48hpf_brain,1,1,1,20250626-plate1,20250626-plate1-slot1
2025-06-26,20250626,89,,X:\abcabc\Korra_Foundation\20250626_mem-histone\fish3_48hpf_hindbrain-to-tail,fish3_48hpf_hindbrain-to-tail,2,1,2,20250626-plate1,20250626-plate1-slot2
2025-06-27,20250627,87,,X:\abcabc\Korra_Foundation\20250627_skittlez and 20250625_skittlez,20250627_skittlez and 20250625_skittlez,1,1,1,20250627-plate1,20250627-plate1-slot1
2025-07-15,20250715,85,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,20250715_mem_organelle,1,1,1,20250715-plate1,20250715-plate1-slot1
2025-07-15,20250715,86,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,20250715_mem_organelle,2,1,2,20250715-plate1,20250715-plate1-slot2
2025-07-16,20250716,84,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,20250715_mem_organelle,1,1,1,20250716-plate1,20250716-plate1-slot1
2025-07-17,20250717,83,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,20250715_mem_organelle,1,1,1,20250717-plate1,20250717-plate1-slot1
2025-07-22,20250722,81,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,20250722_mem-halo_er-mSG,1,1,1,20250722-plate1,20250722-plate1-slot1
2025-07-22,20250722,82,,X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,20250722_mrna_mito-mSG_mem-mChilada,2,1,2,20250722-plate1,20250722-plate1-slot2
2025-07-23,20250723,80,,X:\abcabc\Korra_Foundation\20250723_mem-halo_ER-mSG\fish3_48hpf,fish3_48hpf,1,1,1,20250723-plate1,20250723-plate1-slot1
2025-07-24,20250724,79,,"X:\abcabc\Korra_Foundation\20250724_mem-mchilada_er-mSG, X:\abcabc\Aang_Foundation\20250723_er-mSG_mem-mChilada",20250723_er-mSG_mem-mChilada,1,1,1,20250724-plate1,20250724-plate1-slot1
2025-07-28,20250728,78,,X:\abcabc\Korra_Foundation\20250728_mem-histone,20250728_mem-histone,1,1,1,20250728-plate1,20250728-plate1-slot1
2025-08-01,20250801,77,,X:\abcabc\Korra_Foundation\20250801_mem-PCNA,20250801_mem-PCNA,1,1,1,20250801-plate1,20250801-plate1-slot1
2025-08-04,20250804,76,,X:\abcabc\Korra_Foundation\20250801_mem-PCNA\fish3_72hpf_roi1,fish3_72hpf_roi1,1,1,1,20250804-plate1,20250804-plate1-slot1
2025-08-05,20250805,74,,X:\abcabc\Korra_Foundation\20250805_mem-histone,20250805_mem-histone,1,1,1,20250805-plate1,20250805-plate1-slot1
2025-08-05,20250805,75,,X:\abcabc\Aang_Foundation\20250805_mito_mem-halo,20250805_mito_mem-halo,2,1,2,20250805-plate1,20250805-plate1-slot2
2025-08-06,20250806,73,,X:\abcabc\Aang_Foundation\20250805_lifeact_mem-halo,20250805_lifeact_mem-halo,1,1,1,20250806-plate1,20250806-plate1-slot1
2025-08-08,20250808,71,,X:\abcabc\Aang_Foundation\20250808_mem_organelle,20250808_mem_organelle,1,1,1,20250808-plate1,20250808-plate1-slot1
