dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250228_01,2025-02-28,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",238,,,,2025-03-03,,20250303-plate1,20250303-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish1_72hpf,,,
cluster_linked,IMG_CLT_20250228_01,2025-02-28,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",239,,,,2025-03-03,,20250303-plate1,20250303-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish2_72hpf,,,
cluster_linked,IMG_CLT_20250228_01,2025-02-28,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",240,,,,2025-03-03,,20250303-plate1,20250303-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish3_72hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",229,,,,2025-03-06,,20250306-plate1,20250306-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish9_48hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",230,,,,2025-03-06,,20250306-plate1,20250306-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish10_48hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",232,,,,2025-03-05,,20250305-plate1,20250305-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish6_48hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",233,,,,2025-03-05,,20250305-plate1,20250305-plate1-slot4,,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",234,,,,2025-03-05,,20250305-plate1,20250305-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",235,,,,2025-03-05,,20250305-plate1,20250305-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,,,
cluster_linked,IMG_CLT_20250303_01,2025-03-03,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_009,mYH:H2B,"","","",,,"tdmSG,tdmStayGold",236,,,,2025-03-04,,20250304-plate1,20250304-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish4_24hpf,,,
