legacy_clutch_id,legacy_pair_id,dataset,date_mount,clutch_code,created_at
3a600922-c93a-48e8-aed4-4523c062848b,bcc7dcd1-2dc1-43dc-8942-d9ba1067a487,korra,10/20/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/20/25,2025-11-15 03:08:31.328432+00
3ab84b32-b2ab-446e-ba3a-e3242530f93c,bb2a9aea-98a0-43c5-b990-a45c557478c4,aang,9/18/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/18/25,2025-11-15 03:08:31.328432+00
415b0680-83a5-48fb-bc8d-a6f302693918,085520c2-fe20-498c-9d12-9ec18a641001,aang,8/8/25,LEGACY:aang:membrane_mChiladaxmembrane_mChilada:clutch:8/8/25,2025-11-15 03:08:31.328432+00
41cce0e1-c55d-4d0a-ba4a-ab9c007bba01,2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,aang,11/6/25,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/6/25,2025-11-15 03:08:31.328432+00
41e7a238-f082-4b6a-8de1-7c8379453066,5289a823-30b2-4758-a70e-40cf8e449d80,aang,8/19/25,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/19/25,2025-11-15 03:08:31.328432+00
4400d57c-1380-43e0-88cb-466b91348cd0,ac61d244-2899-400c-949e-6db7273d86eb,aang,10/21/25,LEGACY:aang:casper/rnfxtdmScarlet3S2_(F1_of_allele_325):clutch:10/21/25,2025-11-15 03:08:31.328432+00
49907f5f-c186-41b8-bd1d-98ff729f4f84,81933a40-5a3c-455f-8df3-8f2cccaf67e5,korra,11/12/25,LEGACY:korra:casperxmemrane_tdmScarlet3S2_(F1_of_all:clutch:11/12/25,2025-11-15 03:08:31.328432+00
4cbbbdcc-1a6c-4293-9b8d-e168c7de8296,be9ebd22-64f9-42f1-8a62-66e81d348ce0,aang,10/13/25,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/13/25,2025-11-15 03:08:31.328432+00
515deeb3-acaa-4e97-98b1-f4427db902a7,736e6a61-5c78-4c67-9546-f799ce548ec7,korra,6/16/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:6/16/25,2025-11-15 03:08:31.328432+00
57b4926a-5dc5-4359-8188-0440a7962bca,bb2a9aea-98a0-43c5-b990-a45c557478c4,aang,9/11/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:9/11/25,2025-11-15 03:08:31.328432+00
606f7b78-079f-43de-b75f-f0985d178106,5289a823-30b2-4758-a70e-40cf8e449d80,aang,8/21/25,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/21/25,2025-11-15 03:08:31.328432+00
618f35a0-4fe6-455b-96db-e36cd87c6707,8c15816f-0a64-4bf9-909c-7306330a969c,korra,NaN,LEGACY:korra:NaNxNaN:clutch:NaN,2025-11-15 03:08:31.328432+00
63cceaa6-3103-468b-acb3-fbfaec466707,c8c0cf48-3905-43a6-aef6-5e9d03796ff3,aang,9/8/25,LEGACY:aang:ef1a:2xLynk:tdm:mChiladaxef1a:2xLynk:tdm:mChilada:clutch:9/8/25,2025-11-15 03:08:31.328432+00
